"id","repository_name","url","namespace_identifier"
1, Bollettino della società italiana di fotogrammetria e topografia,https://www.sifet.org/bollettino/index.php/bollettinosifet/oai,bollettino.sifet.cirgeo.unipd.it
2, International Journal of Advances in Health Sciences (IJHS) ,https://www.ijhsonline.com/index.php/IJHS/oai,ojs2.www.ijhsonline.com
3," International Journal of Analytical, Experimental and Finite Element Analysis",https://www.rame.org.in/rameojs/index.php/ijaefea/oai,ojs2.www.rame.org.in
4," International Journal of Environmental, Sustainability, and Social Science",https://journalkeberlanjutan.com/index.php/ijesss/oai,ojs2.journalkeberlanjutan.com
5, Journal of Environmental and Life Sciences,https://www.jelsciences.com/oai.php,jelsciences.com
6, Journal of Livestock and Animal Health ,https://jlah.org/index.php/jlah/oai,ojs2.jlah.org
7, Journal of Visualization and Interaction,https://journals.aau.dk/index.php/jovi/oai,dk.aau.aub.ojs
8, Malaysian Journal of Medical and Biological Research,https://i-proclaim.my/journals/index.php/mjmbr/oai,ojs2.i-proclaim.my
9," The Contrarian : Finance, Accounting, and Business Research",https://jurnal.ywnr.org/index.php/cfabr/oai,ojs.pkp.sfu.ca
10, سامانه اطلاعات زیست پزشکی و سلامت ,http://eprints.arums.ac.ir/cgi/oai2,eprints.arums.ac.ir
11,"""Carácter""  Revista Cientifica de la Universidad Del Pacifico ISSN 2602-8476",http://www.upacifico.edu.ec/ojs/index.php/caracter/oai,ojs.www.upacifico.edu.ec
12,"""CiteSeerX Scientific Literature Digital Library and Search Engine""",http://citeseerx.ist.psu.edu/oai2,CiteSeerX.psu
13,"""Fondo Xavier Clavigero, S.J."" de la Biblioteca ""Dr Jorge Villalobos Padilla, S.J."" del Iteso",http://srb2.bib.iteso.mx/oai/fxc/default.aspx,fcx.iteso.mx
14,"""Hydrosphere. Hazard processes and phenomena""",http://hydro-sphere.ru/index.php/hydrosphere/oai,ojs2.hydro-sphere.ru
15,${dspace.name},http://repository.ied.edu.hk/dspace-oai/request,""
16,'Anil Islam: Jurnal Kebudayaan dan Ilmu Keislaman,http://jurnal.instika.ac.id/index.php/AnilIslam/oai,ojs2.ejournal.annuqayah.com
17,(JIML) JOURNAL OF INNOVATIVE MATHEMATICS LEARNING,https://journal.ikipsiliwangi.ac.id/index.php/jiml/oai,ojs.pkp.sfu.ca
18,(JISA) JURNAL INFORMATIKA DAN SAINS,http://trilogi.ac.id/journal/ks/index.php/JISA/oai,ojs.localhost
19,"14-18 en 14x9 : l'album de cartes postales de Simon Jeanjean",http://epublications.unilim.fr/jeanjean/oai.php,jeanjean.unilim.fr
20,"1st. International Conference Health Polytechnic of Ministry of Health in Kupang",http://econf.poltekeskupang.ac.id/index.php/spk/2018/oai,ocs.econf.poltekeskupang.ac.id
21,['archive_name' not defined],https://vignanir.mosys.org/cgi/oai2,vignanir.mosys.org
22,[Con]textos,http://revistas.usc.edu.co/index.php/Contextos/oai,ojs.revistas.usc.edu.co
23,[re]Design,https://periodicos.ifma.edu.br/redesign/oai,ojs.periodicos.ifma.edu.br
24,A Celebration of Women Writers,http://digital.library.upenn.edu/webbin/OAI-celebration,celebration
25,A&M-Commerce Digital Commons,https://digitalcommons.tamuc.edu/do/oai/,digitalcommons.tamuc.edu
26,A+BE | Architecture and the Built Environment,http://abe.tudelft.nl/index.php/faculty-architecture/oai,ojs.ojs-lib.tudelft.nl
27,A-plus,http://a-plus.auhw.ac.jp/modules/xoonips/oai.php,""
28,AAB College Digital Library,https://dspace.aab-edu.net/oai/request,dspace.aab-edu.net
29,ABACUS. Repositorio de Producción Científica,http://abacus.universidadeuropea.es/oai/request,""
30,ABANNA: Journal Of Contemporary Islamic Education,https://journal.enliinstitute.com/index.php/ABANNA/oai,ojs2.journal.enliinstitute.com
31,Abasyn Journal of Life Sciences,http://ajlifesciences.com/oai2.php,""
32,ABC Journal of Advanced Research,http://journals.abc.us.org/index.php/abcjar/oai,journals.abc.us.org
33,ABC Journal of Advanced Research,https://i-proclaim.my/journals/index.php/abcjar/oai,ojs2.i-proclaim.my
34,ABC Research Alert,https://abcresearchalert.com/oai,ojs.pkp.sfu.ca
35,ABC Research Alert,https://abc.us.org/ojs/index.php/abcra/oai,ojs2.abc.us.org
