"id","repository_name","home_page","oai_pmh"
1,@RCHIVESIC ,http://archivesic.ccsd.cnrs.fr/,http://archivesic.ccsd.cnrs.fr/oai/oai.php
2,Australian Agriculture and Natural Resource Online: AANRO  ,http://www.aanro.net/HOME.html,
3,Abertay Research Collections,https://repository.abertay.ac.uk/jspui/,http://repository.abertay.ac.uk/oai/request
4,"Academic Archive On-line (Jönköping University, Sweden)",http://www.diva-portal.org/hj/,http://www.diva-portal.org/oai/hj/OAI
5,"Academic Archive On-line (Karlstad University, Sweden)",http://www.diva-portal.org/kau/,http://www.diva-portal.org/oai/kau/OAI
6,"Academic Archive On-line (KTH, Sweden)",http://www.diva-portal.org/kth/,http://www.diva-portal.org/oai/kth/OAI
7,"Academic Archive On-line (Linköping University, Sweden)",http://www.diva-portal.org/liu/,http://www.diva-portal.org/oai/liu/OAI
8,"Academic Archive On-line (Mid Sweden University, Sweden)",http://www.diva-portal.org/miun/,http://www.diva-portal.org/oai/miun/OAI
9,"Academic Archive On-line (Mälardalen University, Sweden)",http://www.diva-portal.org/mdh/,http://www.diva-portal.org/oai/mdh/OAI
10,"Academic Archive On-line (NTNU, Norway)",http://www.diva-portal.org/ntnu/,http://www.diva-portal.org/oai/ntnu/OAI
11,"Academic Archive On-line (Stockholm University, Sweden)",http://www.diva-portal.org/su/,http://www.diva-portal.org/oai/su/OAI
12,"Academic Archive On-line (Södertörn University College, Sweden)",http://www.diva-portal.org/sh/,http://www.diva-portal.org/oai/sh/OAI
13,"Academic Archive On-line (Umeå University, Sweden)",http://www.diva-portal.org/umu/,http://www.diva-portal.org/oai/umu/OAI
14,"Academic Archive On-line (University of Gävle, Sweden)",http://www.diva-portal.org/hig/,http://www.diva-portal.org/oai/hig/OAI
15,"Academic Archive On-line (University of Skövde, Sweden)",http://www.diva-portal.org/his/,http://www.diva-portal.org/oai/his/OAI
16,"Academic Archive On-line (Uppsala University, Sweden)",http://publications.uu.se/,http://www.diva-portal.org/oai/uu/OAI
17,"Academic Archive On-line (Växjö University, Sweden)",http://www.diva-portal.org/vxu/,http://www.diva-portal.org/oai/vxu/OAI
18,"Academic Archive On-line (Örebro University, Sweden)",http://www.diva-portal.org/oru/,http://www.diva-portal.org/oai/oru/OAI
19,Academic Commons,http://digitalcommons.libraries.columbia.edu/,http://digitalcommons.libraries.columbia.edu/cgi/oai2.cgi
20,Acadia Divinity College - Digital Collections,http://divinity.acadiau.ca/dspace/,http://divinity.acadiau.ca/dspace-oai/request
21,Acceda. Documentacion cientifica de la ULPGC en abierto.,http://acceda.ulpgc.es/,http://acceda.ulpgc.es/oai/request
22,Access to Research Resources for Teachers Space,http://gtcni.openrepository.com/gtcni/,http://gtcni.openrepository.com/gtcni-oai/request
23,ACEReSearch,http://research.acer.edu.au/,http://research.acer.edu.au/cgi/oai2.cgi
